ID,Name,Price,Brand
8650,Infinix Hot 30 || 8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 39,999",Infinix
3690,"Itel S23 , 8GB RAM 256GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 32,999",Itel
7846,itel P40 6.6″ HD+ Display | 8+128GB Storage | 6000mAh | 13MP Dual Rear Camera,"Rs. 27,749",itel
4852,"Redmi 12 , 8GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 43,999",Redmi
2761,Redmi 12C || 4GB Ram 128GB Rom || 6.71 Inches IPS Display || 5000 mAh - Battery charging 10W wired,"Rs. 28,999",Redmi
1515,"Realme Narzo 50 - 6.56"" Inch Display - 4GB RAM - 64GB ROM","Rs. 39,999",Realme
8239,Tecno Spark 10C RAM 4 GB ROM 128 GB Front Camera 8 MP Back Camera 16 MP Battery Type 5000 mAh,"Rs. 29,999",Tecno
2703,Itel A60s || 4GB RAM 128GB ROM || 8MP camera || 5000 mAh bettery || PTA approved || 1year brand warranty,"Rs. 22,999",Itel
1651,"Redmi Note 12 - 6.67"" Inch Display - 8GB RAM - 128GB / 256GB ROM","Rs. 50,950",Redmi
1447,"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 95,000",Xiaomi
3621,"Vivo V29 12GB Ram 256GB Rom 6.78 Inches AMOLED Display , 4600 mAh - Fast battery 80W wired","Rs. 162,999",Vivo
5011,"Infinix Note 30 - 8GB RAM 128/256GB ROM - 6.78"" FHD+ Eye-care Display with 120Hz Dynamic Refresh Rate","Rs. 47,499",Infinix
1767,vivo Y36 - 8GB RAM - 256GB ROM - 50 + 2 MP Rear Camera - 5000mAh Battery,"Rs. 69,999",vivo
5064,"Xiaomi Redmi 12 , 4GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 38,999",Xiaomi
4854,Combo Deal - Imported New vivo Y67 - 4GB Ram Mobile - Dual Sim PTA approved,"Rs. 13,992",Combo
6214,"Samsung Galaxy A33 5G - 6.4"" Inch Display - 6GB RAM - 128GB ROM","Rs. 99,999",Samsung
1131,"Itel S23 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 30,299",Itel
8442,"Vivo Y17s - 6.56"" Inch Display - 6GB RAM - 128GB ROM","Rs. 43,999",Vivo
7470,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 46,990",Infinix
5930,"INFINIX SMART 7 4GB RAM 64GB ROM || 6000mAh BATTERY || 4G LTE || 6.6"" DISPLAY || ONE YEAR BRAND WARRANTY || PTA APPROVED","Rs. 25,399",INFINIX
7591,"vivo Y02t - 4GB RAM - 64GB ROM - 6.51"" Display - 5000mAh Battery","Rs. 33,999",vivo
6088,"Sparx Neo 7 Ultra 128GB ROM 8GB RAM Battery: 5000mAh Display: 6.52"" PTA APPROVED OFFICIAL BRAND WARRANTY","Rs. 34,999",Sparx
3721,Sparx Neo 8 - 4GB RAM 128GB ROM - Dual SIM - 5000mAh Battery,"Rs. 29,999",Sparx
1365,OnePlus 8 Single Sim 8GB Ram 128GB Rom,"Rs. 87,000",OnePlus
5443,Xiaomi Redmi 12 RAM 8 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 44,980",Xiaomi
7918,itel S23 6.6″ HD+ Display | Up to 16+128GB Storage with Memory Fusion | Color Changing Design | 50 MP AI Camera,"Rs. 30,499",itel
3606,"Xiaomi Redmi Note 12 RAM 8 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 51,999",Xiaomi
3210,LG V60 Thinq 5g | 8 gb ram | 128gb rom | 64 MP camera | 5000 mAh battery | 6.8 inches OLED curve display |,"Rs. 56,999",LG
5477,Galaxy A04s 4GB RAM-128GB ROM PTA APPROVED OFFICIAL BRAND WARRANNTY,"Rs. 38,999",Galaxy
8051,"Itel A05s , 4GB RAM 64GB ROM , 8MP Main Camera , IPS LCD , Finger Sensor , 5000mAh Battery","Rs. 20,199",Itel
4371,"Samsung Galaxy A04s , 4GB Ram 128GB Rom , 6.5 Inches IPS Display 90Hz , 5000 mAh- Fast charging 15W","Rs. 39,799",Samsung
3024,Redmi Note 12 - 8GB RAM 128GB/256GB ROM - 6.67 Display - Dual SIM - 5000mAh Battery,"Rs. 54,499",Redmi
5560,ZTE Blade V30 Vita - 4GB RAM 128GB ROM - 6.82 Inches Display - 5000 mAh Battery,"Rs. 24,999",ZTE
4548,"Tecno Camon 20 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,999",Tecno
2874,Vgotel New 12 - 2GB RAM 64GB ROM - 6.52 Inches Display - 5000mAh Battery,"Rs. 16,999",Vgotel
1724,"Redmi Note 12 Pro - 6.67"" Inch Display - 8GB RAM - 256GB ROM","Rs. 88,799",Redmi
7903,Sparx Neo 7 Ultra - 6GB RAM 128GB ROM - 6.5 Inches Display - 5000mAh Battery,"Rs. 32,499",Sparx
4874,Infinix Note 30 - 8GB RAM 256GB ROM - 6.78 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 48,999",Infinix
9813,"Vivo Y36 ROM 8 GB ROM 128 GB Front Camera 16 MP Back Camera 50 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 62,480",Vivo
6535,Motorola edge plus 2020 | 12gb ram | 256gb rom | 5000 mAh battery | 108 MP camera | pta approved | beast gaming phone,"Rs. 79,999",Motorola
6608,"Redmi Note 12 Pro , 8GB Ram 256GB Rom , 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 67W","Rs. 88,999",Redmi
7340,INFINIX HOT30 - 8GB+8GB RAM 128GB ROM - 5000 mAh Battery Pta Approved Offical Brand Warranty,"Rs. 37,999",INFINIX
